Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedGame,RT,WithinGameTrial,Adult,Age,IQ,PoL,AgeGroup,MeanLearned,Learned
44,1,1,2,6,8,3,5,7,1,4,9,2.0,3.0,5.0,7.0,1.0,2.0,4.0,6.0,8.0,9.0,0.0,2,6,,,0.0,False,1.254,1,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,2,1,2,4,8,1,5,9,3,6,7,1.0,2.0,4.0,8.0,1.0,3.0,5.0,6.0,7.0,9.0,0.0,2,6,,,0.0,False,1.1575,2,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,3,1,1,6,7,3,5,9,2,4,8,3.0,2.0,4.0,8.0,1.0,3.0,5.0,6.0,7.0,9.0,0.0,2,6,,,0.0,False,0.61164,3,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,4,1,2,6,9,3,5,7,1,4,8,1.0,2.0,6.0,9.0,1.0,3.0,4.0,5.0,7.0,8.0,1.0,2,6,,,1.0,False,1.1625,4,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,5,1,1,6,9,2,5,8,3,4,7,1.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,1.0,2,6,,,1.0,False,0.63364,5,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,6,1,1,5,8,3,4,9,2,6,7,2.0,3.0,4.0,9.0,1.0,2.0,5.0,6.0,7.0,8.0,0.0,2,6,,,0.0,False,0.58329,6,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,7,1,2,5,7,3,4,9,1,6,8,3.0,1.0,6.0,8.0,2.0,3.0,4.0,5.0,7.0,9.0,1.0,2,6,,,1.0,False,0.42265,7,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,8,1,1,5,9,2,4,8,3,6,7,3.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,1.0,2,6,,,1.0,False,0.58953,8,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,9,1,1,5,8,3,6,9,2,4,7,2.0,3.0,6.0,9.0,1.0,2.0,4.0,5.0,7.0,8.0,0.0,2,6,,,1.0,False,0.54034,9,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,10,1,3,5,8,1,4,7,2,6,9,1.0,3.0,5.0,8.0,1.0,2.0,4.0,6.0,7.0,9.0,0.0,2,6,,,0.0,False,1.1071,10,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,11,1,1,5,9,2,6,8,3,4,7,3.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,2,6,,,0.0,False,0.58546,11,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,12,1,3,5,9,2,6,7,1,4,8,1.0,3.0,5.0,9.0,1.0,2.0,4.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.75203,12,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,13,1,1,5,8,2,6,7,3,4,9,1.0,1.0,5.0,8.0,2.0,3.0,4.0,6.0,7.0,9.0,0.0,2,6,,,0.0,False,1.3347,13,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,14,1,1,6,8,3,5,9,2,4,7,2.0,3.0,5.0,9.0,1.0,2.0,4.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.70957,14,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
44,15,1,2,5,9,3,4,7,1,6,8,1.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,0.0,2,6,,,0.0,False,0.45116,15,True,21.550066052006542,127.0,18.0,Adult,0.2010050251256281,False
