Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedGame,RT,WithinGameTrial,Adult,Age,IQ,PoL,AgeGroup,MeanLearned,Learned
36,1,1,3,5,9,2,6,8,1,4,7,2.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,0.0,3,7,,,0.0,True,1.0944,1,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,2,1,1,6,8,3,4,7,2,5,9,3.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,0.0,3,7,,,0.0,True,1.4615,2,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,3,1,1,4,9,3,6,8,2,5,7,1.0,1.0,4.0,9.0,2.0,3.0,5.0,6.0,7.0,8.0,0.0,3,7,,,0.0,True,1.1473,3,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,4,1,1,6,9,3,4,8,2,5,7,3.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,3,7,,,1.0,True,1.3947,4,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,5,1,3,4,9,1,5,8,2,6,7,3.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,1.0,3,7,,,1.0,True,1.3375,5,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,6,1,2,6,8,3,5,9,1,4,7,3.0,1.0,4.0,7.0,2.0,3.0,5.0,6.0,8.0,9.0,0.0,3,7,,,1.0,True,1.3671,6,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,7,1,3,6,7,1,4,8,2,5,9,3.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,0.0,3,7,,,0.0,True,1.1978,7,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,8,1,1,6,8,2,4,7,3,5,9,2.0,2.0,4.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,1.0,3,7,,,1.0,True,0.78125,8,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,9,1,2,4,9,3,6,8,1,5,7,1.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,0.0,3,7,,,0.0,True,0.81087,9,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
36,10,1,2,6,9,3,5,7,1,4,8,2.0,3.0,5.0,7.0,1.0,2.0,4.0,6.0,8.0,9.0,1.0,3,7,,,1.0,True,1.1695,10,False,16.720398091678817,79.0,10.0,Adolescent,0.4522613065326633,False
