Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedGame,RT,WithinGameTrial,Adult,Age,IQ,PoL,AgeGroup,MeanLearned,Learned
29,1,1,1,6,7,3,4,9,2,5,8,1.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,0.0,2,6,,,1.0,False,1.0358,1,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,2,1,2,4,7,3,5,9,1,6,8,2.0,3.0,5.0,9.0,1.0,2.0,4.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.85915,2,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,3,1,2,4,7,3,5,9,1,6,8,2.0,3.0,5.0,9.0,1.0,2.0,4.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.88142,3,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,4,1,3,6,9,2,5,8,1,4,7,1.0,3.0,6.0,9.0,1.0,2.0,4.0,5.0,7.0,8.0,1.0,2,6,,,1.0,False,0.43179,4,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,5,1,1,5,9,2,6,8,3,4,7,1.0,1.0,5.0,9.0,2.0,3.0,4.0,6.0,7.0,8.0,0.0,2,6,,,0.0,False,0.43875,5,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,6,1,1,4,9,3,6,7,2,5,8,1.0,1.0,4.0,9.0,2.0,3.0,5.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.47734,6,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,7,1,1,4,7,3,5,9,2,6,8,2.0,3.0,5.0,9.0,1.0,2.0,4.0,6.0,7.0,8.0,0.0,2,6,,,0.0,False,0.40362,7,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,8,1,3,5,7,2,4,8,1,6,9,3.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,1.0,2,6,,,1.0,False,0.46684,8,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,9,1,2,6,7,3,4,9,1,5,8,1.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,0.0,2,6,,,1.0,False,0.40922,9,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,10,1,3,4,8,2,5,7,1,6,9,3.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,0.0,2,6,,,1.0,False,0.4554,10,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,11,1,3,4,7,1,5,9,2,6,8,2.0,1.0,5.0,9.0,2.0,3.0,4.0,6.0,7.0,8.0,0.0,2,6,,,0.0,False,0.37475,11,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,12,1,2,4,9,3,5,7,1,6,8,2.0,3.0,5.0,7.0,1.0,2.0,4.0,6.0,8.0,9.0,0.0,2,6,,,0.0,False,0.51695,12,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,13,1,1,5,9,2,6,7,3,4,8,1.0,1.0,5.0,9.0,2.0,3.0,4.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.98028,13,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,14,1,1,5,7,2,4,9,3,6,8,2.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.37899,14,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,15,1,1,4,9,3,5,8,2,6,7,1.0,1.0,4.0,9.0,2.0,3.0,5.0,6.0,7.0,8.0,0.0,2,6,,,0.0,False,0.53737,15,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,16,1,3,5,9,2,4,8,1,6,7,1.0,3.0,5.0,9.0,1.0,2.0,4.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.45532,16,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,17,1,1,5,7,3,4,9,2,6,8,2.0,3.0,4.0,9.0,1.0,2.0,5.0,6.0,7.0,8.0,1.0,2,6,,,0.0,False,0.83077,17,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,18,1,3,5,9,1,4,8,2,6,7,1.0,3.0,5.0,9.0,1.0,2.0,4.0,6.0,7.0,8.0,0.0,2,6,,,0.0,False,0.43705,18,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,19,1,2,4,7,3,6,9,1,5,8,2.0,3.0,6.0,9.0,1.0,2.0,4.0,5.0,7.0,8.0,1.0,2,6,,,1.0,False,0.44432,19,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,20,1,2,6,8,3,4,7,1,5,9,2.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,2,6,,,0.0,False,0.5703,20,False,16.723135998685805,115.0,,Adolescent,0.4010025062656641,False
29,21,2,2,5,7,3,4,9,1,6,8,2.0,3.0,4.0,9.0,1.0,2.0,5.0,6.0,7.0,8.0,0.0,3,8,,,0.0,True,0.77966,1,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,22,2,3,5,7,2,4,8,1,6,9,2.0,2.0,4.0,8.0,1.0,3.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.69778,2,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,23,2,2,5,9,1,6,7,3,4,8,1.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,0.0,3,8,,,0.0,True,0.77693,3,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,24,2,1,4,8,3,6,9,2,5,7,1.0,1.0,4.0,8.0,2.0,3.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,1.2308,4,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,25,2,3,6,9,1,4,7,2,5,8,2.0,1.0,4.0,7.0,2.0,3.0,5.0,6.0,8.0,9.0,0.0,3,8,,,0.0,True,0.43856,5,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,26,2,1,6,9,2,5,8,3,4,7,3.0,3.0,4.0,7.0,1.0,2.0,5.0,6.0,8.0,9.0,0.0,3,8,,,0.0,True,0.67624,6,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,27,2,1,4,9,3,5,7,2,6,8,3.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.46687,7,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,28,2,2,6,8,3,4,7,1,5,9,1.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,0.0,3,8,,,1.0,True,0.57837,8,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,29,2,2,5,7,1,4,9,3,6,8,3.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.47316,9,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,30,2,2,5,8,3,4,7,1,6,9,1.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.57556,10,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,31,2,2,4,7,1,6,9,3,5,8,3.0,3.0,5.0,8.0,1.0,2.0,4.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.54986,11,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,32,2,2,4,7,3,5,8,1,6,9,2.0,3.0,5.0,8.0,1.0,2.0,4.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.61248,12,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,33,2,3,4,8,2,5,7,1,6,9,1.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.43519,13,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,34,2,2,6,7,3,5,9,1,4,8,3.0,1.0,4.0,8.0,2.0,3.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.61858,14,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,35,2,1,5,9,2,4,7,3,6,8,3.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.5684,15,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,36,2,2,6,8,3,4,9,1,5,7,1.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,0.0,3,8,,,1.0,True,0.53523,16,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,37,2,2,5,7,1,6,8,3,4,9,2.0,1.0,6.0,8.0,2.0,3.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.47044,17,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,38,2,1,4,9,3,5,7,2,6,8,3.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,0.0,3,8,,,1.0,True,0.53211,18,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,39,2,2,6,7,3,5,8,1,4,9,2.0,3.0,5.0,8.0,1.0,2.0,4.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.46647,19,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,40,2,1,5,7,2,6,9,3,4,8,3.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.58629,20,False,16.723135998685805,115.0,7.0,Adolescent,0.4010025062656641,False
29,41,3,2,6,8,1,5,7,3,4,9,2.0,1.0,5.0,7.0,2.0,3.0,4.0,6.0,8.0,9.0,0.0,3,9,,,0.0,True,0.86672,1,False,16.723135998685805,115.0,6.0,Adolescent,0.4010025062656641,False
29,42,3,2,6,9,1,4,8,3,5,7,1.0,2.0,6.0,9.0,1.0,3.0,4.0,5.0,7.0,8.0,1.0,3,9,,,1.0,True,0.74576,2,False,16.723135998685805,115.0,6.0,Adolescent,0.4010025062656641,False
29,43,3,1,4,7,2,6,8,3,5,9,2.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,0.0,3,9,,,0.0,True,0.62391,3,False,16.723135998685805,115.0,6.0,Adolescent,0.4010025062656641,False
29,44,3,3,4,8,2,6,9,1,5,7,2.0,2.0,6.0,9.0,1.0,3.0,4.0,5.0,7.0,8.0,1.0,3,9,,,1.0,True,0.88622,4,False,16.723135998685805,115.0,6.0,Adolescent,0.4010025062656641,False
29,45,3,1,5,8,2,4,7,3,6,9,2.0,2.0,4.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,0.0,3,9,,,0.0,True,0.47759,5,False,16.723135998685805,115.0,6.0,Adolescent,0.4010025062656641,False
29,46,3,1,6,7,3,4,8,2,5,9,3.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,1.0,3,9,,,1.0,True,0.44342,6,False,16.723135998685805,115.0,6.0,Adolescent,0.4010025062656641,False
