Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedGame,RT,WithinGameTrial,Adult,Age,IQ,PoL,AgeGroup,MeanLearned,Learned
60,1,1,3,6,7,2,4,9,1,5,8,2.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,0.0,1,3,,,0.0,False,1.1485,1,True,21.864925357810225,90.0,,Adult,0.4,False
60,2,1,2,5,8,1,6,7,3,4,9,2.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,1.0,1,3,,,0.0,False,0.79583,2,True,21.864925357810225,90.0,,Adult,0.4,False
60,3,1,2,4,8,3,5,9,1,6,7,3.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,1.0,1,3,,,0.0,False,0.77015,3,True,21.864925357810225,90.0,,Adult,0.4,False
60,4,1,1,4,9,3,6,8,2,5,7,2.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,1,3,,,1.0,False,1.0009,4,True,21.864925357810225,90.0,,Adult,0.4,False
60,5,1,1,4,9,3,5,8,2,6,7,3.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,0.0,1,3,,,0.0,False,0.58324,5,True,21.864925357810225,90.0,,Adult,0.4,False
60,6,1,1,6,7,3,4,8,2,5,9,1.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,0.0,1,3,,,0.0,False,0.61421,6,True,21.864925357810225,90.0,,Adult,0.4,False
60,7,1,2,4,8,3,5,9,1,6,7,3.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,1.0,1,3,,,0.0,False,0.56464,7,True,21.864925357810225,90.0,,Adult,0.4,False
60,8,1,3,6,7,2,4,8,1,5,9,1.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,1.0,1,3,,,1.0,False,1.0517,8,True,21.864925357810225,90.0,,Adult,0.4,False
60,9,1,1,6,7,2,5,8,3,4,9,1.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,1.0,1,3,,,0.0,False,0.56956,9,True,21.864925357810225,90.0,,Adult,0.4,False
60,10,1,3,6,7,1,4,9,2,5,8,1.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,0.0,1,3,,,1.0,False,0.56058,10,True,21.864925357810225,90.0,,Adult,0.4,False
60,11,1,3,5,8,1,6,7,2,4,9,2.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,0.0,1,3,,,0.0,False,0.87105,11,True,21.864925357810225,90.0,,Adult,0.4,False
60,12,1,2,4,9,1,6,8,3,5,7,2.0,1.0,6.0,8.0,2.0,3.0,4.0,5.0,7.0,9.0,1.0,1,3,,,0.0,False,1.3258,12,True,21.864925357810225,90.0,,Adult,0.4,False
60,13,1,3,6,9,2,5,8,1,4,7,1.0,3.0,6.0,9.0,1.0,2.0,4.0,5.0,7.0,8.0,0.0,1,3,,,1.0,False,0.70075,13,True,21.864925357810225,90.0,,Adult,0.4,False
60,14,1,3,4,9,2,6,8,1,5,7,3.0,1.0,5.0,7.0,2.0,3.0,4.0,6.0,8.0,9.0,0.0,1,3,,,0.0,False,1.0757,14,True,21.864925357810225,90.0,,Adult,0.4,False
60,15,1,3,5,7,1,6,9,2,4,8,2.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,0.0,1,3,,,0.0,False,0.4578,15,True,21.864925357810225,90.0,,Adult,0.4,False
60,16,1,1,6,7,2,5,8,3,4,9,1.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,0.0,1,3,,,0.0,False,0.5358,16,True,21.864925357810225,90.0,,Adult,0.4,False
60,17,1,2,4,9,1,6,8,3,5,7,3.0,3.0,5.0,7.0,1.0,2.0,4.0,6.0,8.0,9.0,1.0,1,3,,,1.0,False,0.83224,17,True,21.864925357810225,90.0,,Adult,0.4,False
60,18,1,1,5,7,3,6,8,2,4,9,1.0,1.0,5.0,7.0,2.0,3.0,4.0,6.0,8.0,9.0,1.0,1,3,,,0.0,False,0.64532,18,True,21.864925357810225,90.0,,Adult,0.4,False
60,19,1,2,5,8,1,4,9,3,6,7,3.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,0.0,1,3,,,1.0,False,0.64392,19,True,21.864925357810225,90.0,,Adult,0.4,False
60,20,1,1,5,9,3,4,8,2,6,7,3.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,0.0,1,3,,,0.0,False,0.5541,20,True,21.864925357810225,90.0,,Adult,0.4,False
60,21,2,1,4,7,2,6,8,3,5,9,1.0,1.0,4.0,7.0,2.0,3.0,5.0,6.0,8.0,9.0,0.0,3,8,,,0.0,True,1.1971,1,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,22,2,3,6,8,1,5,7,2,4,9,3.0,2.0,4.0,9.0,1.0,3.0,5.0,6.0,7.0,8.0,0.0,3,8,,,0.0,True,0.92425,2,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,23,2,2,4,7,1,6,9,3,5,8,2.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,0.0,3,8,,,0.0,True,0.45983,3,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,24,2,1,5,8,3,6,7,2,4,9,2.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,0.0,3,8,,,0.0,True,1.306,4,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,25,2,3,6,8,1,5,7,2,4,9,2.0,1.0,5.0,7.0,2.0,3.0,4.0,6.0,8.0,9.0,0.0,3,8,,,0.0,True,1.0887,5,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,26,2,3,4,7,2,5,8,1,6,9,2.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.91106,6,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,27,2,1,4,7,3,6,8,2,5,9,2.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.70969,7,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,28,2,3,6,8,2,5,9,1,4,7,1.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,1.0041,8,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,29,2,2,4,8,3,6,9,1,5,7,1.0,2.0,4.0,8.0,1.0,3.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.55484,9,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,30,2,3,6,8,2,5,7,1,4,9,1.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.5536,10,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,31,2,3,4,8,2,6,7,1,5,9,1.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.39158,11,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,32,2,3,5,8,1,4,7,2,6,9,1.0,3.0,5.0,8.0,1.0,2.0,4.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.39974,12,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,33,2,2,5,9,3,6,8,1,4,7,2.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.51761,13,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,34,2,3,4,8,2,6,7,1,5,9,1.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.46772,14,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,35,2,1,5,9,2,4,8,3,6,7,2.0,2.0,4.0,8.0,1.0,3.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.41868,15,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,36,2,1,6,8,2,4,7,3,5,9,1.0,1.0,6.0,8.0,2.0,3.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.55292,16,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,37,2,2,6,7,3,5,8,1,4,9,2.0,3.0,5.0,8.0,1.0,2.0,4.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.53666,17,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,38,2,3,6,9,2,5,7,1,4,8,3.0,1.0,4.0,8.0,2.0,3.0,5.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.5903,18,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,39,2,1,4,9,3,6,8,2,5,7,2.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,3,8,,,1.0,True,0.56532,19,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,40,2,1,5,8,2,6,9,3,4,7,1.0,1.0,5.0,8.0,2.0,3.0,4.0,6.0,7.0,9.0,1.0,3,8,,,1.0,True,0.89211,20,True,21.864925357810225,90.0,6.0,Adult,0.4,False
60,41,3,2,4,8,3,5,7,1,6,9,2.0,3.0,5.0,7.0,1.0,2.0,4.0,6.0,8.0,9.0,1.0,3,7,,,1.0,False,0.97523,1,True,21.864925357810225,90.0,,Adult,0.4,False
60,42,3,1,5,7,2,4,9,3,6,8,1.0,1.0,5.0,7.0,2.0,3.0,4.0,6.0,8.0,9.0,1.0,3,7,,,1.0,False,0.68624,2,True,21.864925357810225,90.0,,Adult,0.4,False
60,43,3,2,6,7,3,4,8,1,5,9,3.0,1.0,5.0,9.0,2.0,3.0,4.0,6.0,7.0,8.0,0.0,3,7,,,0.0,False,1.0295,3,True,21.864925357810225,90.0,,Adult,0.4,False
60,44,3,1,5,8,2,4,7,3,6,9,2.0,2.0,4.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,1.0,3,7,,,1.0,False,0.57914,4,True,21.864925357810225,90.0,,Adult,0.4,False
60,45,3,2,5,7,1,4,8,3,6,9,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,3,7,,,1.0,False,0.54634,5,True,21.864925357810225,90.0,,Adult,0.4,False
60,46,3,1,6,8,3,5,9,2,4,7,3.0,2.0,4.0,7.0,1.0,3.0,5.0,6.0,8.0,9.0,1.0,3,7,,,1.0,False,0.52017,6,True,21.864925357810225,90.0,,Adult,0.4,False
60,47,3,1,5,8,2,6,7,3,4,9,2.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,0.0,3,7,,,1.0,False,0.54426,7,True,21.864925357810225,90.0,,Adult,0.4,False
60,48,3,2,5,9,1,4,8,3,6,7,3.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,0.0,3,7,,,1.0,False,0.68635,8,True,21.864925357810225,90.0,,Adult,0.4,False
60,49,3,3,4,9,2,6,7,1,5,8,2.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,1.0,3,7,,,1.0,False,0.57288,9,True,21.864925357810225,90.0,,Adult,0.4,False
60,50,3,2,6,9,3,5,7,1,4,8,2.0,3.0,5.0,7.0,1.0,2.0,4.0,6.0,8.0,9.0,0.0,3,7,,,1.0,False,1.8506,10,True,21.864925357810225,90.0,,Adult,0.4,False
