Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedGame,RT,WithinGameTrial,Adult,Age,IQ,PoL,AgeGroup,MeanLearned,Learned
49,1,1,2,5,9,3,6,8,1,4,7,1.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,0.0,1,2,,,1.0,False,0.82121,1,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,2,1,2,4,7,1,6,8,3,5,9,2.0,1.0,6.0,8.0,2.0,3.0,4.0,5.0,7.0,9.0,1.0,1,2,,,0.0,False,1.2035,2,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,3,1,3,4,8,2,6,9,1,5,7,1.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,0.0,1,2,,,0.0,False,0.8906,3,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,4,1,1,4,8,2,6,7,3,5,9,2.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,1.0,1,2,,,1.0,False,0.55269,4,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,5,1,2,6,8,3,4,7,1,5,9,1.0,2.0,6.0,8.0,1.0,3.0,4.0,5.0,7.0,9.0,0.0,1,2,,,1.0,False,0.7674,5,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,6,1,3,6,8,1,4,7,2,5,9,1.0,3.0,6.0,8.0,1.0,2.0,4.0,5.0,7.0,9.0,1.0,1,2,,,0.0,False,0.73422,6,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,7,1,1,4,8,3,5,7,2,6,9,3.0,2.0,6.0,9.0,1.0,3.0,4.0,5.0,7.0,8.0,1.0,1,2,,,1.0,False,1.0452,7,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,8,1,1,6,7,2,5,8,3,4,9,1.0,1.0,6.0,7.0,2.0,3.0,4.0,5.0,8.0,9.0,1.0,1,2,,,0.0,False,0.52385,8,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,9,1,2,6,9,1,4,7,3,5,8,1.0,2.0,6.0,9.0,1.0,3.0,4.0,5.0,7.0,8.0,1.0,1,2,,,1.0,False,0.53828,9,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,10,1,1,4,9,2,5,8,3,6,7,3.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,8.0,9.0,0.0,1,2,,,0.0,False,0.66523,10,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,11,1,1,6,8,2,4,9,3,5,7,1.0,1.0,6.0,8.0,2.0,3.0,4.0,5.0,7.0,9.0,0.0,1,2,,,0.0,False,0.51227,11,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,12,1,2,4,7,1,6,8,3,5,9,2.0,1.0,6.0,8.0,2.0,3.0,4.0,5.0,7.0,9.0,0.0,1,2,,,0.0,False,1.1577,12,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,13,1,3,5,8,2,4,7,1,6,9,3.0,1.0,6.0,9.0,2.0,3.0,4.0,5.0,7.0,8.0,1.0,1,2,,,0.0,False,0.54097,13,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,14,1,1,5,7,3,4,8,2,6,9,3.0,2.0,6.0,9.0,1.0,3.0,4.0,5.0,7.0,8.0,1.0,1,2,,,1.0,False,0.44418,14,True,18.91072369726962,117.0,20.0,Adult,0.5,False
49,15,1,1,6,8,2,4,9,3,5,7,1.0,1.0,6.0,8.0,2.0,3.0,4.0,5.0,7.0,9.0,0.0,1,2,,,0.0,False,0.61865,15,True,18.91072369726962,117.0,20.0,Adult,0.5,False
