Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedGame,RT,WithinGameTrial,Adult,Age,IQ,PoL,AgeGroup,MeanLearned,Learned
35,1,1,2,5,8,1,6,9,3,4,7,1.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,1.0,2,5,,,1.0,True,0.80303,1,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,2,1,3,4,8,1,6,9,2,5,7,1.0,3.0,4.0,8.0,1.0,2.0,5.0,6.0,7.0,9.0,1.0,2,5,,,0.0,True,0.72966,2,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,3,1,3,5,7,2,6,8,1,4,9,3.0,1.0,4.0,9.0,2.0,3.0,5.0,6.0,7.0,8.0,1.0,2,5,,,0.0,True,0.84769,3,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,4,1,1,4,8,3,6,7,2,5,9,1.0,1.0,4.0,8.0,2.0,3.0,5.0,6.0,7.0,9.0,0.0,2,5,,,0.0,True,0.59926,4,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,5,1,2,5,8,1,4,9,3,6,7,1.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,0.0,2,5,,,1.0,True,1.501,5,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,6,1,3,5,9,1,4,8,2,6,7,2.0,1.0,4.0,8.0,2.0,3.0,5.0,6.0,7.0,9.0,0.0,2,5,,,0.0,True,0.41263,6,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,7,1,3,5,9,2,6,7,1,4,8,3.0,1.0,4.0,8.0,2.0,3.0,5.0,6.0,7.0,9.0,0.0,2,5,,,0.0,True,1.4431,7,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,8,1,2,5,7,3,6,8,1,4,9,1.0,2.0,5.0,7.0,1.0,3.0,4.0,6.0,8.0,9.0,1.0,2,5,,,1.0,True,1.2978,8,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,9,1,3,5,9,2,6,7,1,4,8,1.0,3.0,5.0,9.0,1.0,2.0,4.0,6.0,7.0,8.0,0.0,2,5,,,1.0,True,0.81603,9,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,10,1,1,6,7,3,4,8,2,5,9,3.0,2.0,5.0,9.0,1.0,3.0,4.0,6.0,7.0,8.0,1.0,2,5,,,1.0,True,0.79072,10,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,11,1,1,4,9,3,6,7,2,5,8,3.0,2.0,5.0,8.0,1.0,3.0,4.0,6.0,7.0,9.0,1.0,2,5,,,1.0,True,0.70932,11,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,12,1,2,6,7,3,4,9,1,5,8,1.0,2.0,6.0,7.0,1.0,3.0,4.0,5.0,8.0,9.0,0.0,2,5,,,0.0,True,1.5805,12,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,13,1,1,6,7,2,4,8,3,5,9,2.0,2.0,4.0,8.0,1.0,3.0,5.0,6.0,7.0,9.0,1.0,2,5,,,0.0,True,0.86721,13,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,14,1,2,6,7,3,4,9,1,5,8,3.0,1.0,5.0,8.0,2.0,3.0,4.0,6.0,7.0,9.0,1.0,2,5,,,1.0,True,0.84915,14,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,15,1,2,6,7,1,4,9,3,5,8,3.0,3.0,5.0,8.0,1.0,2.0,4.0,6.0,7.0,9.0,1.0,2,5,,,1.0,True,1.1919,15,True,24.05525096340103,97.0,14.0,Adult,0.5,False
35,16,1,1,6,9,2,4,8,3,5,7,3.0,3.0,5.0,7.0,1.0,2.0,4.0,6.0,8.0,9.0,1.0,2,5,,,1.0,True,1.6864,16,True,24.05525096340103,97.0,14.0,Adult,0.5,False
